No.,id,Address,飲水機數量(台),備註,indoor,level,repeat_on,opening_hours,operator,行政區,Address2,Response_Address,Response_X,Response_Y,Similarity,精確程度,Check2
221,217,臺中市西區柳川東路二段125巷16號,1,04-23727364,,,,,財團法人臺中市上公館福德宮,西區,臺中市西區柳川東路二段125巷16號,臺中市西區公民里12鄰柳川東路二段125巷16號,120.668998,24.136891,0.9412,OK,1
222,218,臺中市西區中興街136號,1,04-23058986,,,,,台中上天宮,西區,臺中市西區中興街136號,臺中市西區中興里2鄰中興街136號,120.663163,24.148724,0.8632,OK,1
223,219,臺中市西區五廊街102號,1,04-23721541,,,,,台中臨水宮,西區,臺中市西區五廊街102號,臺中市西區公民里21鄰五廊街102號,120.666904,24.138567,0.9185,OK,1
224,220,臺中市西區篤行路146巷13號,1,04-22018833,,,,,民德堂,西區,臺中市西區篤行路146巷13號,臺中市西區和龍里7鄰篤行路146巷13號,120.674966,24.150171,0.9268,OK,1
225,221,臺中市西區南屯路大忠南街115號,1,04-23711636,,,,,能仁寺,西區,臺中市西區南屯路大忠南街115號,臺中市西區公?里7鄰南屯路一段113號,120.661899,24.131971,0.6862,,1
226,222,臺中市西區大進街153號,1,04-23897233,,,,,臺中市東興福德廟,西區,臺中市西區大進街153號,臺中市西區公正里20鄰大進街153號,120.651074,24.14448,0.9143,OK,1
227,223,臺中市西區三民西路56號,1,04-23719614,,,,,財團法人臺中市奉順宮,西區,臺中市西區三民西路56號,臺中市西區公?里10鄰三民西路56號,120.66677,24.13159,0.9280,OK,1
228,224,臺中市西區南屯路一段230號,1,04-23710418,,,,,德順宮,西區,臺中市西區南屯路大忠南街115號,臺中市西區公?里7鄰南屯路一段113號,120.661899,24.131971,0.6397,,0
229,225,臺中市西區長春街27號,1,04-23278737,,,,,麻園頭福德祠,西區,臺中市西區長春街27號,臺中市西區忠明里25鄰長春街23號,120.661016,24.153911,0.8579,medium,1
230,226,臺中市西區美村路一段41之5號,1,04-23253274,,,,,台中興農宮,西區,臺中市西區美村路一段41之5號,臺中市西區忠明里6鄰美村路一段41之5號,120.662187,24.153308,0.9333,OK,1
231,227,臺中市西區大全街61巷6-1號,1,04-23727089，前,,,,,臺中市西區藍興福德祠,西區,臺中市西區大全街61巷6-1號,臺中市西區藍興里8鄰大全街61巷6之1號,120.669401,24.13391,0.9105,OK,1
232,228,臺中市西區昇平街51號,1,,,,,,昇平老人文康中心,西區,臺中市西區昇平街51號,臺中市西區昇平里10鄰昇平街51號,120.662556,24.145269,0.8647,OK,1
233,229,臺中市西區華美西街203號之1,1,,,,,,忠誠活動中心,西區,臺中市西區華美西街203號之1,臺中市西區忠誠里17鄰華美西街一段203之1號,120.662888,24.160647,0.8300,OK,1
234,230,臺中市西區精誠23街30號,1,3樓,yes,3,,,大益活動中心,西區,臺中市西區精誠二十三街30號,臺中市西區公德里17鄰精誠二十三街30號,120.656478,24.145813,0.6632,OK,0
235,231,臺中市南區工學路72號,3,3-5樓,yes,,3-5,,南區區公所,南區,臺中市南區工學路72號,臺中市南區南和里5鄰工學路72號,120.663793,24.11709,0.9262,OK,0
236,232,臺中市南區德富路100號,1,,,,,,樹德里大慶活動中心,南區,臺中市南區德富路100號,臺中市南區樹德里22鄰德富路100號,120.654196,24.119614,0.9143,OK,1
237,233,臺中市南區國光路11號、20號,2,,,,,,長榮里活動中心、醒修宮,南區,臺中市南區國光路11號、20號,臺中市南區長榮里9鄰國光路11號,120.67662,24.132277,0.7400,Multi,1
238,234,臺中市南區復興路2段71巷31弄11號,1,,,,,,和平里活動中心,南區,臺中市南區復興路2段71巷31弄11號,臺中市南區和平里2鄰復興路二段71巷31弄11號,120.658923,24.12215,0.8049,OK,1
239,235,臺中市南區復興北路186號,1,,,,,,和平里福德祠,南區,臺中市南區復興路3段158號,臺中市南區新榮里3鄰復興路三段156號,120.674105,24.130484,0.8497,,0
240,236,臺中市南區五權南路335號,1,,,,,,南區圖書館,南區,臺中市南區五權南路335號,臺中市南區平和里5鄰五權南路335號,120.669748,24.120119,0.9280,OK,1
241,237,臺中市南區美和街97號,1,,,,,,平和里下橋福德祠,南區,臺中市南區美和街97號,臺中市南區平和里8鄰美和街95號,120.665744,24.121721,0.8931,OK,1
